Monatliche Globalstrahlung in 3597369.302259, 5449837.426472
Jahr, Monat, Globalstrahlung in kWh/m^2/Monat
2008,1,29.24934177274459
2008,2,57.14175798218526
2008,3,77.36544734115867
2008,4,104.6539506923954
2008,5,178.8771075467023
2008,6,172.3188663011812
2008,7,169.332083032412
2008,8,142.2755906949254
2008,9,87.53411882951796
2008,10,55.43774557094408
2008,11,33.51054091840679
2008,12,20.37958549186764
2009,1,33.72926603883544
2009,2,39.81164143287987
2009,3,70.23284897953206
2009,4,138.4063251118159
2009,5,158.8457047442527
2009,6,170.2181323400166
2009,7,162.3832351178234
2009,8,161.2100265006441
2009,9,103.8362981554459
2009,10,53.20259790590068
2009,11,32.77786836510408
2009,12,21.77007464740204
2010,1,21.60198595620628
2010,2,42.37509392109089
2010,3,91.31586468271566
2010,4,147.04796465862
2010,5,109.1766645168203
2010,6,165.0683546872139
2010,7,184.0120559009868
2010,8,119.7894658180707
2010,9,97.73507301764135
2010,10,66.77848140130558
2010,11,27.35374999131204
2010,12,20.73603092101204
2011,1,25.31213525101036
2011,2,43.32793834991003
2011,3,103.116987585967
2011,4,152.957548129382
2011,5,190.5935484779096
2011,6,150.485164912353
2011,7,157.3817838120227
2011,8,156.5686380402217
2011,9,114.0163695433266
2011,10,74.56080752205948
2011,11,39.76882255322747
2011,12,16.91223154452627
2012,1,26.34539325336339
2012,2,51.62979774393324
2012,3,98.24256099355732
2012,4,118.504241167952
2012,5,186.1339438167597
2012,6,165.6590906991132
2012,7,162.607665121663
2012,8,163.0733579119834
2012,9,115.0608562995986
2012,10,61.69387278547204
2012,11,28.15850603275273
2012,12,21.89765502653137
2013,1,21.78995185324204
2013,2,35.21869881171867
2013,3,82.96127487957136
2013,4,103.8217191182399
2013,5,117.5328301963209
2013,6,161.5926379386071
2013,7,194.7913421828613
2013,8,146.1657033411779
2013,9,90.68281820236314
2013,10,57.86896336463657
2013,11,23.91524395855932
2013,12,22.14833572261595
2014,1,23.90063721192271
2014,2,46.42159402878627
2014,3,104.2377891773854
2014,4,122.2560288702772
2014,5,146.6669444982726
2014,6,195.8800012087866
2014,7,159.1760966292932
2014,8,133.2253769701304
2014,9,88.12588283499453
2014,10,55.51995185324204
2014,11,27.00911674403136
2014,12,15.17727929993933
2015,1,22.16569075646442
2015,2,40.55409052284901
2015,3,90.95386812287595
2015,4,147.8718477439081
2015,5,148.7557050584662
2015,6,160.5189040362398
2015,7,188.4642516196768
2015,8,159.3315330926303
2015,9,94.37477287304984
2015,10,54.9808784414639
2015,11,35.88508549047171
2015,12,24.83482836391984
2016,1,24.90271495095747
2016,2,33.49920401617239
2016,3,81.61428624712275
2016,4,111.7062632642081
2016,5,153.85362326447
2016,6,158.3058666637957
2016,7,173.4147044832527
2016,8,163.5844147903859
2016,9,113.0974123939154
2016,10,53.9905742546612
2016,11,30.76675882925611
2016,12,21.85639122946595
2017,1,35.36819905255087
2017,2,46.99590518154425
2017,3,93.75713564235527
2017,4,122.3831891440797
2017,5,169.0579271154955
2017,6,197.1628254241958
2017,7,166.8431155831847
2017,8,148.8842668859063
2017,9,93.67405884071084
2017,10,62.9279752622534
2017,11,23.30121270499966
2017,12,18.83821525337883
2018,1,24.0941920865956
2018,2,48.9094762570451
2018,3,81.2363821680656
2018,4,152.929650774052
2018,5,178.775519610862
2018,6,174.6970243464017
2018,7,189.5834950377744
2018,8,165.3383162094908
2018,9,118.3514286850629
2018,10,76.50343394970983
2018,11,31.59749155200491
2018,12,16.72387495848627
2019,1,22.82199842903663
2019,2,62.81718285451476
2019,3,90.1561063511039
2019,4,137.369226900702
2019,5,152.3935430326237
2019,6,197.8843583649175
2019,7,186.3372375330657
